Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani ","LAD","DH",1.2699999809265137,360.784,5.831585888249873,7.354789712615409,9.226856240537407,2.6930931052926605,8.001449693233145,33.1077746399285,6.883045326965682,40.990819966894186,"Shohei Ohtani","19755",660271
"Bobby Witt Jr. ","KCR","SS",3.0999999046325684,366.331,6.688150975433767,2.8507051008742215,6.411327442591099,7.908562043200301,1.60519022436216,25.46393578646155,9.034025687351658,35.497961473813206,"Bobby Witt Jr.","25764",677951
"Juan Soto ","NYM","OF/DH",4.650000095367432,362.31,3.894196273377975,5.058866126974694,6.829109936072642,1.7299926853187828,6.167848790376347,23.680013812120443,10.773252038224797,35.45326585034524,"Juan Soto","20123",665742
"Ben Rice ","NYY","C/1B/DH",53.189998626708984,355.128,0.30765127942515175,4.696335688164718,3.675396748128134,-1.7629394836686982,5.257153191291047,12.173597423340356,22.027786544860128,35.20138396820048,"Ben Rice","29576",700250
"Shea Langeliers ","ATH","C/DH",54.04999923706055,310.711,3.097352455615277,3.3590599198799556,2.0716505938345313,-1.8211480187895708,4.6117834191929274,11.31869836973312,22.027786544860128,34.34648491459325,"Shea Langeliers","25816",669127
"Hunter Goodman ","COL","C/DH",67.36000061035156,314.194,1.104602929704728,4.7624414589348465,1.453691902598287,-1.7406166537868193,4.520116301150623,10.100235938601665,22.027786544860128,33.1280224834618,"Hunter Goodman","29715",696100
"Yordan Alvarez ","HOU","OF/DH",33.38999938964844,320.371,8.08999450809772,5.786726467442601,3.672234924419525,-2.5645330279965144,6.228777359631206,21.213200231594538,10.773252038224797,32.98645226981933,"Yordan Alvarez","19556",670541
"Nick Kurtz ","ATH","1B",19.8700008392334,361.315,3.584569516410417,6.827507881487868,7.013866443993629,-1.3123718800202404,7.288676155575773,23.402248117447446,7.5297211335921235,31.931969251039565,"Nick Kurtz","35110",701762
"James Wood ","WSN","OF/DH",37.790000915527344,358.593,3.2668703306615803,4.7359414792891545,4.815617297331916,2.3103223129602894,3.8458888151628283,18.97464023540577,10.773252038224797,30.74789227363057,"James Wood","29518",695578
"Julio Rodríguez ","SEA","OF",9.489999771118164,366.493,4.152560550135033,3.351247856602104,4.35405289458692,3.685507549234079,2.952161491285268,18.495530341843406,10.773252038224797,30.2687823800682,"Julio Rodriguez","23697",677594
